TEMPS	Vitesse	PUIS.	VO2/KG	VO2	VCO2	Q.R	FR	Vt	VE	KCal	Rés.V.	Ttot	Te	Ti	Ti/Ttot	VE/VO2	VE/VCO2	Horloge	FC
(min)	(RPM)	(Watts)	(mL/kg/min)	(mL/min)	(mL/min)		(br/min)	(mL)	(L/min)	(KCal/min)	(%)	(sec)	(sec)	(sec)				(Minuterie)	(BPM)
0:10	0	80	8,9	721	632	0,88	20	928	18,5	3,5	88,9	3,01	2,16	0,85	0,28	26	29	08:16:50	99
0:12	0	80	6,9	558	448	0,80	33	465	15,2	2,7	90,9	1,84	1,56	0,28	0,15	27	34	08:16:52	99
0:14	0	80	8,4	679	528	0,78	31	557	17,1	3,3	89,8	1,95	1,33	0,62	0,32	25	32	08:16:54	99
0:16	0	80	8,7	703	591	0,84	24	742	18,0	3,4	89,3	2,48	1,74	0,74	0,30	26	30	08:16:56	99
0:19	0	80	9,0	725	590	0,81	24	751	17,7	3,5	89,4	2,54	1,70	0,84	0,33	24	30	08:16:59	99
0:21	0	80	10,6	856	674	0,79	25	781	19,8	4,1	88,2	2,37	1,59	0,78	0,33	23	29	08:17:01	97
0:24	0	80	11,0	890	696	0,78	24	832	20,2	4,3	88,0	2,48	1,61	0,87	0,35	23	29	08:17:04	93
0:26	0	80	11,9	968	728	0,75	26	801	21,1	4,6	87,4	2,28	1,47	0,82	0,36	22	29	08:17:06	93
0:29	0	80	13,7	1107	835	0,75	25	924	23,3	5,3	86,1	2,38	1,54	0,84	0,35	21	28	08:17:09	93
0:31	0	80	13,7	1106	835	0,75	25	924	23,3	5,3	86,1	2,38	1,54	0,84	0,35	21	28	08:17:11	93
0:33	0	80	13,0	1055	792	0,75	26	875	22,8	5,0	86,4	2,30	1,49	0,81	0,35	22	29	08:17:13	93
0:35	0	80	14,3	1160	867	0,75	28	892	25,0	5,5	85,1	2,14	1,40	0,74	0,35	22	29	08:17:15	95
0:37	0	80	14,0	1136	854	0,75	27	906	24,7	5,4	85,2	2,20	1,45	0,75	0,34	22	29	08:17:17	95
0:41	0	80	16,2	1312	967	0,74	27	1011	27,0	6,2	83,9	2,25	1,56	0,69	0,31	21	28	08:17:21	96
0:43	0	80	15,9	1286	960	0,75	26	1020	26,8	6,1	84,0	2,28	1,59	0,69	0,30	21	28	08:17:23	99
0:45	0	80	14,2	1150	881	0,77	29	885	25,5	5,5	84,8	2,08	1,44	0,65	0,31	22	29	08:17:25	101
0:47	0	80	14,6	1185	902	0,76	29	891	25,6	5,7	84,7	2,09	1,43	0,66	0,31	22	28	08:17:27	100
0:50	0	80	14,7	1191	901	0,76	28	894	24,8	5,7	85,2	2,16	1,46	0,70	0,32	21	28	08:17:30	99
0:52	0	80	14,6	1183	887	0,75	27	896	23,8	5,6	85,8	2,26	1,55	0,71	0,31	20	27	08:17:32	99
0:55	0	80	15,3	1239	915	0,74	24	975	23,6	5,9	85,9	2,48	1,63	0,85	0,34	19	26	08:17:35	99
0:58	0	80	15,3	1237	915	0,74	24	975	23,6	5,9	85,9	2,48	1,63	0,85	0,34	19	26	08:17:38	99
1:00	0	80	16,2	1315	959	0,73	24	1029	24,6	6,2	85,3	2,51	1,63	0,88	0,35	19	26	08:17:40	100
1:03	0	80	17,1	1386	996	0,72	24	1072	25,4	6,6	84,8	2,53	1,62	0,91	0,36	18	25	08:17:43	100
1:05	0	80	17,6	1425	1031	0,72	24	1125	26,6	6,8	84,1	2,54	1,61	0,93	0,37	19	26	08:17:45	103
1:07	0	80	18,6	1509	1092	0,72	23	1204	28,1	7,2	83,2	2,57	1,63	0,94	0,37	19	26	08:17:47	103
1:10	0	80	19,1	1546	1140	0,74	25	1199	29,9	7,4	82,1	2,40	1,56	0,84	0,35	19	26	08:17:50	103
1:12	0	80	19,3	1562	1170	0,75	25	1247	30,6	7,5	81,7	2,44	1,58	0,86	0,35	20	26	08:17:52	104
1:14	0	80	18,9	1535	1178	0,77	25	1248	31,2	7,4	81,4	2,40	1,56	0,84	0,35	20	26	08:17:54	104
1:19	0	80	18,6	1506	1165	0,77	25	1253	31,0	7,2	81,5	2,43	1,59	0,84	0,35	21	27	08:17:59	104
1:21	0	80	18,5	1499	1169	0,78	25	1229	31,2	7,2	81,3	2,36	1,55	0,81	0,34	21	27	08:18:01	105
1:26	0	80	18,3	1484	1189	0,80	21	1426	30,6	7,2	81,7	2,80	1,79	1,01	0,36	21	26	08:18:06	107
1:32	0	80	17,6	1427	1181	0,83	17	1766	29,7	6,9	82,2	3,57	2,20	1,37	0,38	21	25	08:18:12	106
1:35	0	80	17,1	1384	1153	0,83	16	1753	28,8	6,7	82,8	3,65	2,29	1,36	0,37	21	25	08:18:15	108
1:38	0	80	17,4	1410	1173	0,83	16	1789	28,7	6,9	82,8	3,74	2,38	1,36	0,36	20	24	08:18:18	106
1:42	0	80	17,5	1416	1183	0,84	15	1968	28,7	6,9	82,9	4,12	2,56	1,56	0,38	20	24	08:18:22	110
1:47	0	80	18,2	1473	1226	0,83	15	2018	29,5	7,2	82,4	4,10	2,55	1,55	0,38	20	24	08:18:27	111
1:49	0	80	17,5	1416	1183	0,84	15	1968	28,7	6,9	82,9	4,12	2,56	1,56	0,38	20	24	08:18:29	110
1:51	0	80	17,6	1427	1191	0,83	17	1717	29,3	6,9	82,5	3,51	2,25	1,27	0,36	21	25	08:18:31	107
1:53	0	80	17,6	1429	1172	0,82	21	1384	29,1	6,9	82,6	2,86	1,94	0,92	0,32	20	25	08:18:33	102
1:56	0	80	18,4	1487	1261	0,85	18	1726	31,7	7,3	81,0	3,26	2,11	1,15	0,35	21	25	08:18:36	108
1:58	0	80	18,1	1465	1254	0,86	19	1701	31,9	7,2	80,9	3,20	2,05	1,15	0,36	22	25	08:18:38	110
2:01	0	80	18,5	1494	1280	0,86	21	1544	32,9	7,3	80,4	2,82	1,87	0,95	0,34	22	26	08:18:41	109
2:03	0	80	18,0	1458	1209	0,83	26	1188	30,9	7,1	81,5	2,30	1,60	0,71	0,31	21	26	08:18:43	108
2:05	0	80	18,6	1506	1256	0,83	27	1177	32,1	7,3	80,8	2,20	1,50	0,71	0,32	21	26	08:18:45	109
2:08	0	80	18,9	1530	1288	0,84	25	1280	32,4	7,5	80,6	2,37	1,57	0,80	0,34	21	25	08:18:48	109
2:10	0	80	19,2	1554	1309	0,84	25	1292	32,9	7,6	80,4	2,36	1,55	0,81	0,34	21	25	08:18:50	109
2:12	0	80	19,2	1554	1309	0,84	25	1292	32,9	7,6	80,4	2,36	1,55	0,81	0,34	21	25	08:18:52	111
2:18	0	80	18,8	1520	1341	0,88	20	1662	34,0	7,5	79,7	2,93	1,98	0,95	0,32	22	25	08:18:58	112
2:20	0	80	18,4	1492	1328	0,89	20	1677	33,5	7,4	80,0	3,00	2,00	1,01	0,34	22	25	08:19:00	112
2:22	0	80	18,9	1529	1355	0,89	20	1691	34,4	7,5	79,4	2,95	1,98	0,97	0,33	23	25	08:19:02	113
2:25	0	80	19,1	1548	1383	0,89	20	1743	35,2	7,6	79,0	2,97	1,99	0,98	0,33	23	25	08:19:05	113
2:27	0	80	18,7	1515	1369	0,90	20	1748	35,1	7,5	79,0	2,99	2,00	0,98	0,33	23	26	08:19:07	113
2:30	0	80	18,6	1507	1378	0,91	20	1790	35,4	7,5	78,8	3,03	2,05	0,98	0,32	24	26	08:19:10	113
2:33	0	80	18,2	1472	1352	0,92	19	1775	34,5	7,3	79,4	3,08	2,06	1,02	0,33	23	26	08:19:13	113
