TEMPS	Vitesse	PUIS.	VO2/KG	VO2	VCO2	Q.R	FR	Vt	VE	KCal	Rés.V.	Ttot	Te	Ti	Ti/Ttot	VE/VO2	VE/VCO2	Horloge	FC
(min)	(RPM)	(Watts)	(mL/kg/min)	(mL/min)	(mL/min)		(br/min)	(mL)	(L/min)	(KCal/min)	(%)	(sec)	(sec)	(sec)				(Minuterie)	(BPM)
0:11	0	103	17,7	1118	909	0,81	13	2118	27,4	5,4	81,8	4,64	3,09	1,55	0,33	25	30	08:52:51	104
0:13	0	103	14,2	895	692	0,77	27	764	20,3	4,3	86,6	2,26	1,74	0,52	0,23	23	29	08:52:53	104
0:16	0	104	17,1	1077	861	0,80	20	1281	25,7	5,2	83,0	2,99	1,99	1,00	0,33	24	30	08:52:56	104
0:20	0	105	15,8	998	786	0,79	23	1022	23,4	4,8	84,5	2,63	1,87	0,76	0,29	23	30	08:53:00	105
0:21	0	105	15,5	979	752	0,77	28	832	23,1	4,7	84,7	2,16	1,55	0,61	0,28	24	31	08:53:01	105
0:25	0	106	16,3	1029	774	0,75	24	969	23,4	4,9	84,5	2,49	1,80	0,69	0,28	23	30	08:53:05	107
0:27	0	106	16,7	1049	811	0,77	21	1199	24,6	5,0	83,7	2,92	2,05	0,87	0,30	23	30	08:53:07	106
0:28	0	106	15,5	975	741	0,76	22	1024	22,1	4,7	85,4	2,78	2,01	0,77	0,28	23	30	08:53:08	109
0:31	0	107	16,6	1044	766	0,73	21	1076	22,6	5,0	85,0	2,86	2,00	0,86	0,30	22	30	08:53:11	110
0:34	0	107	17,2	1084	770	0,71	23	999	22,6	5,1	85,0	2,66	1,90	0,75	0,28	21	29	08:53:14	113
0:37	0	108	19,7	1238	850	0,69	24	1012	24,7	5,8	83,6	2,46	1,73	0,73	0,30	20	29	08:53:17	113
0:40	0	109	20,8	1309	899	0,69	22	1170	25,4	6,2	83,1	2,76	1,89	0,87	0,32	19	28	08:53:20	114
0:42	0	109	22,2	1396	947	0,68	22	1186	26,6	6,5	82,4	2,67	1,79	0,88	0,33	19	28	08:53:22	116
0:45	0	110	22,1	1391	953	0,68	20	1301	26,6	6,5	82,4	2,94	1,92	1,02	0,35	19	28	08:53:25	116
0:48	0	110	22,0	1389	975	0,70	20	1376	27,1	6,6	82,0	3,04	1,97	1,08	0,35	20	28	08:53:28	116
0:52	0	111	22,1	1390	975	0,70	20	1376	27,1	6,6	82,0	3,04	1,97	1,08	0,35	20	28	08:53:32	116
0:54	0	112	22,8	1434	1006	0,70	20	1366	27,6	6,8	81,7	2,97	1,91	1,07	0,36	19	27	08:53:34	116
0:57	0	112	23,3	1471	1030	0,70	22	1304	28,1	6,9	81,3	2,78	1,79	0,99	0,36	19	27	08:53:37	116
0:59	0	112	24,8	1565	1105	0,71	22	1399	30,4	7,4	79,9	2,76	1,79	0,97	0,35	19	27	08:53:39	116
1:01	0	113	23,8	1498	1071	0,72	22	1360	29,7	7,1	80,3	2,75	1,80	0,95	0,35	20	28	08:53:41	117
1:02	0	113	24,3	1533	1110	0,72	24	1271	31,0	7,3	79,4	2,46	1,61	0,85	0,34	20	28	08:53:42	117
1:05	0	114	24,1	1517	1104	0,73	25	1231	31,3	7,2	79,3	2,36	1,60	0,77	0,32	21	28	08:53:45	118
1:07	0	114	24,5	1545	1112	0,72	27	1159	31,8	7,3	79,0	2,19	1,49	0,70	0,32	21	29	08:53:47	118
1:10	0	115	25,0	1574	1162	0,74	28	1223	33,7	7,5	77,7	2,18	1,51	0,67	0,31	21	29	08:53:50	119
1:13	0	115	22,4	1414	1080	0,76	26	1225	31,4	6,8	79,2	2,34	1,61	0,73	0,31	22	29	08:53:53	120
1:15	0	116	20,4	1282	983	0,77	25	1148	29,0	6,1	80,7	2,37	1,62	0,75	0,32	23	30	08:53:55	120
