TEMPS	Vitesse	PUIS.	VO2/KG	VO2	VCO2	Q.R	FR	Vt	VE	KCal	Rés.V.	Ttot	Te	Ti	Ti/Ttot	VE/VO2	VE/VCO2	Horloge	FC
(min)	(RPM)	(Watts)	(mL/kg/min)	(mL/min)	(mL/min)		(br/min)	(mL)	(L/min)	(KCal/min)	(%)	(sec)	(sec)	(sec)				(Minuterie)	(BPM)
0:08	0	80	12,9	847	720	0,85	23	930	21,8	4,1	86,9	2,56	1,67	0,89	0,35	26	30	08:52:52	103
0:10	0	80	10,9	717	614	0,86	24	810	19,7	3,5	88,1	2,46	1,64	0,82	0,33	28	32	08:52:54	104
0:13	0	80	10,9	717	615	0,86	24	810	19,7	3,5	88,1	2,46	1,64	0,82	0,33	28	32	08:52:57	104
0:16	0	80	11,9	784	669	0,85	24	870	20,8	3,8	87,5	2,51	1,65	0,86	0,34	27	31	08:53:00	104
0:19	0	80	12,5	825	692	0,84	23	885	20,7	4,0	87,5	2,56	1,74	0,82	0,32	25	30	08:53:03	104
0:22	0	80	12,0	790	655	0,83	22	880	19,2	3,8	88,4	2,74	1,90	0,85	0,31	24	29	08:53:06	106
0:23	0	80	12,4	818	679	0,83	21	934	19,7	4,0	88,1	2,84	1,99	0,85	0,30	24	29	08:53:07	106
0:26	0	80	12,5	822	676	0,82	21	925	19,7	4,0	88,2	2,82	1,97	0,85	0,30	24	29	08:53:10	107
0:29	0	80	13,2	870	711	0,82	20	995	20,1	4,2	87,9	2,98	2,11	0,86	0,29	23	28	08:53:13	107
0:32	0	80	14,3	945	774	0,82	21	1025	21,9	4,6	86,8	2,81	1,96	0,86	0,30	23	28	08:53:16	107
0:33	0	80	15,5	1019	822	0,81	23	993	23,3	4,9	86,0	2,56	1,78	0,77	0,30	23	28	08:53:17	107
0:36	0	80	15,5	1020	820	0,80	24	959	23,4	4,9	85,9	2,46	1,70	0,76	0,31	23	29	08:53:20	107
0:39	0	80	15,9	1047	846	0,81	23	1010	23,1	5,1	86,1	2,63	1,79	0,84	0,32	22	27	08:53:23	107
0:43	0	80	15,9	1051	878	0,84	19	1259	23,8	5,1	85,7	3,18	2,10	1,07	0,34	23	27	08:53:27	108
0:46	0	80	16,2	1066	896	0,84	19	1296	24,2	5,2	85,4	3,22	2,10	1,11	0,35	23	27	08:53:30	108
0:49	0	80	16,1	1058	891	0,84	19	1260	24,2	5,2	85,4	3,12	2,02	1,09	0,35	23	27	08:53:33	108
0:51	0	80	16,0	1055	891	0,84	19	1268	24,3	5,1	85,4	3,13	2,06	1,08	0,34	23	27	08:53:35	108
0:54	0	80	15,7	1032	857	0,83	21	1124	23,2	5,0	86,0	2,90	1,94	0,96	0,33	22	27	08:53:38	108
