TEMPS	Vitesse	PUIS.	VO2/KG	VO2	VCO2	Q.R	FR	Vt	VE	KCal	Rés.V.	Ttot	Te	Ti	Ti/Ttot	VE/VO2	VE/VCO2	Horloge	FC
(min)	(RPM)	(Watts)	(mL/kg/min)	(mL/min)	(mL/min)		(br/min)	(mL)	(L/min)	(KCal/min)	(%)	(sec)	(sec)	(sec)				(Minuterie)	(BPM)
0:11	0	80	1,3	70	58	0,82	22	254	5,7	0,3	96,2	2,67	1,49	1,18	0,44	81	99	08:51:45	106
0:17	0	80	20,4	1133	890	0,79	11	2024	22,4	5,4	85,1	5,42	4,90	0,52	0,10	20	25	08:51:51	107
0:23	0	80	12,3	680	476	0,70	10	1345	13,0	3,2	91,4	6,20	3,89	2,31	0,37	19	27	08:51:57	107
0:26	0	80	13,8	767	532	0,69	13	1167	14,7	3,6	90,2	4,76	3,03	1,72	0,36	19	28	08:52:00	109
0:32	0	80	13,5	749	506	0,68	12	1163	13,8	3,5	90,8	5,05	3,40	1,65	0,33	18	27	08:52:06	110
0:34	0	80	15,3	848	606	0,71	12	1378	16,1	4,0	89,3	5,14	3,77	1,37	0,27	19	27	08:52:08	111
0:40	0	80	16,8	931	643	0,69	12	1451	16,7	4,4	88,9	5,21	3,78	1,42	0,27	18	26	08:52:14	112
0:45	0	80	18,3	1016	694	0,68	12	1528	17,9	4,8	88,1	5,12	3,64	1,48	0,29	18	26	08:52:19	113
0:49	0	80	18,7	1040	675	0,65	12	1429	17,5	4,8	88,4	4,90	3,21	1,69	0,35	17	26	08:52:23	115
0:52	0	80	21,4	1190	758	0,64	15	1345	19,6	5,5	87,0	4,12	2,71	1,41	0,34	16	26	08:52:26	117
0:57	0	80	23,3	1292	812	0,63	15	1398	20,7	6,0	86,3	4,05	2,67	1,37	0,34	16	26	08:52:31	118
1:01	0	80	23,3	1291	812	0,63	15	1398	20,7	6,0	86,3	4,05	2,67	1,37	0,34	16	26	08:52:35	118
1:05	0	80	21,6	1199	767	0,64	14	1440	19,6	5,6	87,0	4,41	2,98	1,43	0,32	16	26	08:52:39	118
1:09	0	80	21,3	1182	756	0,64	15	1317	19,4	5,5	87,2	4,08	2,78	1,30	0,32	16	26	08:52:43	118
1:13	0	80	24,0	1331	870	0,65	15	1511	22,6	6,2	85,0	4,01	2,60	1,41	0,35	17	26	08:52:47	118
1:17	0	80	25,3	1406	935	0,66	15	1593	24,4	6,6	83,8	3,91	2,53	1,38	0,35	17	26	08:52:51	117
1:20	0	80	24,8	1378	935	0,68	15	1639	24,5	6,5	83,7	4,01	2,64	1,37	0,34	18	26	08:52:54	117
1:24	0	80	22,8	1265	870	0,69	16	1443	22,5	5,9	85,1	3,84	2,74	1,10	0,29	18	26	08:52:58	117
1:28	0	80	25,6	1419	989	0,70	16	1605	25,3	6,7	83,2	3,81	2,67	1,14	0,30	18	26	08:53:02	117
1:33	0	80	25,9	1440	1034	0,72	15	1751	26,2	6,8	82,7	4,01	2,74	1,28	0,32	18	25	08:53:07	117
1:38	0	80	26,1	1447	1048	0,72	14	1831	26,3	6,9	82,6	4,18	2,83	1,35	0,32	18	25	08:53:12	117
1:43	0	80	24,7	1372	1002	0,73	14	1748	24,9	6,5	83,5	4,22	2,96	1,26	0,30	18	25	08:53:17	117
