TEMPS	Vitesse	PUIS.	VO2/KG	VO2	VCO2	Q.R	FR	Vt	VE	KCal	Rés.V.	Ttot	Te	Ti	Ti/Ttot	VE/VO2	VE/VCO2	Horloge	FC
(min)	(RPM)	(Watts)	(mL/kg/min)	(mL/min)	(mL/min)		(br/min)	(mL)	(L/min)	(KCal/min)	(%)	(sec)	(sec)	(sec)				(Minuterie)	(BPM)
0:16	0	100	8,3	672	580	0,86	11	1273	14,1	3,3	91,3	5,40	4,20	1,20	0,22	21	24	07:57:06	75
0:20	0	100	13,4	1083	896	0,83	16	1515	23,7	5,3	85,4	3,83	2,79	1,04	0,27	22	27	07:57:10	102
0:23	0	100	13,4	1084	896	0,83	16	1515	23,7	5,3	85,4	3,83	2,79	1,04	0,27	22	26	07:57:13	102
0:29	0	130	14,4	1168	970	0,83	16	1567	25,8	5,7	84,2	3,65	2,63	1,02	0,28	22	27	07:57:19	96
0:33	0	170	13,3	1080	903	0,84	16	1496	24,1	5,3	85,2	3,73	2,77	0,96	0,26	22	27	07:57:23	98
0:36	0	250	14,2	1152	943	0,82	17	1481	24,7	5,6	84,8	3,60	2,70	0,90	0,25	21	26	07:57:26	99
0:39	0	250	14,6	1179	1009	0,86	15	1836	27,2	5,8	83,3	4,05	2,92	1,13	0,28	23	27	07:57:29	100
0:42	0	250	16,1	1303	1087	0,83	15	1863	28,8	6,3	82,3	3,87	2,73	1,14	0,29	22	27	07:57:32	101
0:44	0	250	17,9	1449	1179	0,81	17	1878	31,1	7,0	80,9	3,63	2,51	1,12	0,31	21	26	07:57:34	100
0:48	0	250	19,1	1549	1226	0,79	16	1919	31,2	7,5	80,8	3,69	2,35	1,34	0,36	20	25	07:57:38	100
0:50	0	250	21,8	1763	1299	0,74	20	1582	31,7	8,4	80,5	2,99	1,91	1,08	0,36	18	24	07:57:40	102
0:53	0	250	23,5	1905	1394	0,73	21	1627	34,5	9,1	78,8	2,83	1,73	1,10	0,39	18	25	07:57:43	104
0:56	0	250	24,7	1999	1447	0,72	21	1720	35,4	9,5	78,3	2,92	1,85	1,07	0,37	18	24	07:57:46	105
0:58	0	250	26,0	2107	1523	0,72	23	1677	38,4	10,0	76,4	2,62	1,82	0,81	0,31	18	25	07:57:48	106
1:01	0	250	27,0	2187	1580	0,72	23	1722	40,1	10,4	75,4	2,58	1,81	0,77	0,30	18	25	07:57:51	106
1:03	0	250	28,0	2271	1666	0,73	24	1789	42,8	10,8	73,7	2,51	1,77	0,74	0,29	19	26	07:57:53	108
1:05	0	250	27,9	2257	1690	0,75	26	1735	44,8	10,8	72,5	2,32	1,61	0,72	0,31	20	27	07:57:55	109
1:08	0	250	27,5	2224	1653	0,74	24	1810	42,9	10,6	73,6	2,53	1,82	0,71	0,28	19	26	07:57:58	111
1:12	0	250	26,5	2150	1613	0,75	23	1797	42,1	10,3	74,1	2,56	1,83	0,73	0,29	20	26	07:58:02	113
1:15	0	220	29,0	2348	1805	0,77	25	1945	48,9	11,3	70,0	2,39	1,60	0,79	0,33	21	27	07:58:05	113
1:17	0	220	29,1	2359	1845	0,78	25	1992	50,6	11,3	68,9	2,36	1,55	0,82	0,35	21	27	07:58:07	113
1:22	0	200	25,4	2061	1565	0,76	22	1800	40,5	9,9	75,1	2,67	1,94	0,73	0,27	20	26	07:58:12	113
1:24	0	200	25,8	2093	1525	0,73	23	1641	38,1	9,9	76,6	2,58	1,94	0,65	0,25	18	25	07:58:14	113
1:26	0	200	30,1	2441	1775	0,73	23	1941	44,2	11,6	72,9	2,64	1,89	0,75	0,29	18	25	07:58:16	113
1:28	0	200	34,4	2787	2056	0,74	23	2255	52,2	13,3	67,9	2,59	1,86	0,74	0,28	19	25	07:58:18	113
1:30	0	200	39,5	3202	2454	0,77	28	2379	66,0	15,3	59,4	2,16	1,40	0,76	0,35	21	27	07:58:20	113
1:32	0	200	37,2	3015	2396	0,79	29	2233	65,8	14,5	59,6	2,04	1,38	0,66	0,32	22	27	07:58:22	113
1:35	0	200	36,4	2949	2393	0,81	29	2222	64,0	14,3	60,7	2,08	1,45	0,64	0,31	22	27	07:58:25	114
1:37	0	200	38,1	3088	2498	0,81	30	2261	67,0	14,9	58,8	2,02	1,39	0,63	0,31	22	27	07:58:27	113
1:40	0	200	35,9	2904	2472	0,85	27	2422	66,2	14,2	59,3	2,20	1,46	0,74	0,34	23	27	07:58:30	114
1:42	0	200	34,2	2770	2398	0,87	28	2269	62,4	13,6	61,6	2,18	1,46	0,72	0,33	23	26	07:58:32	114
1:45	0	200	34,2	2770	2397	0,87	28	2269	62,4	13,6	61,6	2,18	1,46	0,72	0,33	23	26	07:58:35	118
1:47	0	200	33,7	2730	2392	0,88	27	2240	61,0	13,4	62,5	2,20	1,50	0,70	0,32	22	25	07:58:37	118
1:49	0	200	33,7	2732	2374	0,87	28	2156	59,4	13,4	63,5	2,18	1,46	0,72	0,33	22	25	07:58:39	119
1:51	0	200	35,4	2866	2484	0,87	29	2196	62,6	14,0	61,5	2,10	1,40	0,70	0,33	22	25	07:58:41	117
1:54	0	200	35,7	2891	2517	0,87	28	2237	63,5	14,2	61,0	2,11	1,42	0,70	0,33	22	25	07:58:44	116
1:56	0	200	35,7	2892	2517	0,87	28	2237	63,5	14,2	61,0	2,11	1,42	0,70	0,33	22	25	07:58:46	116
1:58	0	200	34,3	2781	2453	0,88	28	2253	62,4	13,7	61,6	2,17	1,44	0,72	0,33	22	25	07:58:48	116
2:01	0	200	33,7	2731	2416	0,88	28	2229	61,5	13,4	62,2	2,18	1,46	0,72	0,33	23	25	07:58:51	116
2:04	0	200	34,1	2766	2433	0,88	27	2268	61,4	13,6	62,3	2,22	1,48	0,74	0,33	22	25	07:58:54	115
2:06	0	180	34,5	2792	2472	0,89	26	2368	62,3	13,7	61,7	2,28	1,51	0,78	0,34	22	25	07:58:56	115
2:08	0	180	34,0	2750	2450	0,89	27	2332	62,6	13,6	61,6	2,24	1,46	0,78	0,35	23	26	07:58:58	115
2:12	0	180	29,4	2384	2118	0,89	24	2257	53,6	11,7	67,1	2,53	1,75	0,78	0,31	22	25	07:59:02	115
2:14	0	180	31,5	2553	2230	0,87	24	2337	55,0	12,5	66,2	2,55	1,83	0,72	0,28	22	25	07:59:04	114
2:17	0	180	29,8	2416	2088	0,86	23	2222	51,3	11,8	68,5	2,60	1,88	0,72	0,28	21	25	07:59:07	114
2:19	0	180	36,1	2922	2531	0,87	25	2481	62,5	14,3	61,6	2,38	1,60	0,78	0,33	21	25	07:59:09	113
