TEMPS	Vitesse	PUIS.	VO2/KG	VO2	VCO2	Q.R	FR	Vt	VE	KCal	Rés.V.	Ttot	Te	Ti	Ti/Ttot	VE/VO2	VE/VCO2	Horloge	FC
(min)	(RPM)	(Watts)	(mL/kg/min)	(mL/min)	(mL/min)		(br/min)	(mL)	(L/min)	(KCal/min)	(%)	(sec)	(sec)	(sec)				(Minuterie)	(BPM)
0:17	0	100	8,0	624	536	0,86	9	1831	15,6	3,1	90,6	7,05	5,60	1,45	0,21	25	29	09:28:39	84
0:20	0	100	10,2	801	589	0,73	19	808	15,6	3,8	90,6	3,10	2,73	0,37	0,12	20	27	09:28:42	90
0:23	0	100	10,2	798	588	0,74	19	808	15,6	3,8	90,6	3,10	2,73	0,37	0,12	20	27	09:28:45	90
0:30	0	100	12,2	957	671	0,70	12	1444	17,8	4,5	89,3	4,87	3,63	1,23	0,25	19	26	09:28:52	90
0:34	0	100	12,5	977	673	0,69	13	1393	17,7	4,6	89,4	4,73	3,46	1,27	0,27	18	26	09:28:56	91
0:38	0	100	12,8	1001	676	0,68	13	1320	17,7	4,7	89,3	4,48	3,27	1,21	0,27	18	26	09:29:00	93
0:41	0	100	13,0	1016	689	0,68	14	1281	18,1	4,8	89,1	4,26	3,18	1,07	0,25	18	26	09:29:03	94
0:44	0	100	13,9	1087	713	0,66	14	1304	18,7	5,1	88,8	4,19	3,00	1,19	0,28	17	26	09:29:06	98
0:47	0	100	15,2	1187	761	0,64	15	1282	19,8	5,5	88,0	3,88	2,76	1,12	0,29	17	26	09:29:09	98
0:50	0	100	16,4	1281	801	0,63	15	1339	20,7	5,9	87,5	3,88	2,63	1,25	0,32	16	26	09:29:12	100
0:55	0	100	19,1	1494	892	0,60	19	1171	22,5	6,9	86,4	3,12	2,12	1,00	0,32	15	25	09:29:17	100
0:58	0	100	20,8	1626	1013	0,62	20	1300	26,6	7,5	84,0	2,93	1,92	1,01	0,34	16	26	09:29:20	101
1:00	0	100	20,8	1629	1014	0,62	20	1300	26,6	7,5	84,0	2,93	1,92	1,01	0,34	16	26	09:29:22	101
1:03	0	100	21,3	1670	1093	0,65	20	1412	28,9	7,8	82,6	2,93	1,98	0,95	0,33	17	26	09:29:25	101
1:07	0	100	19,1	1497	1026	0,69	20	1417	27,7	7,0	83,3	3,07	2,13	0,94	0,31	19	27	09:29:29	101
1:11	0	100	18,0	1412	1000	0,71	18	1525	26,9	6,7	83,8	3,40	2,50	0,91	0,27	19	27	09:29:33	101
1:16	0	100	17,2	1344	953	0,71	16	1563	25,8	6,4	84,5	3,64	2,80	0,84	0,23	19	27	09:29:38	99
1:21	0	100	17,2	1344	952	0,71	16	1563	25,8	6,4	84,5	3,64	2,80	0,84	0,23	19	27	09:29:43	98
1:24	0	100	17,2	1348	959	0,71	16	1582	25,5	6,4	84,6	3,71	2,91	0,81	0,22	19	27	09:29:46	98
1:29	0	100	17,7	1384	986	0,71	15	1688	25,6	6,5	84,6	3,96	3,13	0,83	0,21	18	26	09:29:51	99
1:31	0	100	18,5	1450	1008	0,70	16	1651	25,7	6,8	84,5	3,86	3,07	0,79	0,20	18	25	09:29:53	100
1:34	0	100	20,0	1564	1112	0,71	17	1626	28,1	7,4	83,1	3,47	2,70	0,78	0,22	18	25	09:29:56	100
1:38	0	100	22,4	1753	1278	0,73	18	1829	32,9	8,3	80,2	3,33	2,40	0,93	0,28	19	26	09:30:00	100
1:45	0	100	22,4	1754	1278	0,73	18	1829	32,9	8,3	80,2	3,33	2,40	0,93	0,28	19	26	09:30:07	100
1:50	0	100	20,0	1566	1116	0,71	17	1639	27,5	7,4	83,4	3,57	2,81	0,77	0,21	18	25	09:30:12	99
1:54	0	100	20,8	1630	1143	0,70	16	1671	27,5	7,7	83,4	3,64	2,89	0,75	0,21	17	24	09:30:16	98
1:58	0	100	22,7	1774	1267	0,71	17	1848	31,5	8,4	81,0	3,52	2,71	0,81	0,23	18	25	09:30:20	98
2:01	0	100	22,3	1746	1295	0,74	16	2058	32,5	8,3	80,4	3,80	2,91	0,89	0,23	19	25	09:30:23	96
2:04	0	100	20,9	1637	1238	0,76	16	1973	31,6	7,8	81,0	3,75	2,90	0,85	0,23	19	26	09:30:26	96
2:07	0	100	20,9	1638	1238	0,76	16	1973	31,6	7,8	81,0	3,75	2,90	0,85	0,23	19	25	09:30:29	96
2:09	0	100	22,9	1794	1397	0,78	19	1974	36,9	8,6	77,7	3,21	2,33	0,87	0,27	21	26	09:30:31	96
2:13	0	100	23,0	1797	1398	0,78	19	1974	36,9	8,6	77,7	3,21	2,33	0,87	0,27	21	26	09:30:35	97
2:15	0	100	22,8	1786	1423	0,80	20	1854	37,9	8,6	77,2	2,94	2,13	0,81	0,28	21	27	09:30:37	97
2:18	0	100	22,6	1767	1410	0,80	23	1647	37,2	8,5	77,6	2,65	1,90	0,76	0,28	21	26	09:30:40	98
2:23	0	100	23,1	1805	1500	0,83	21	1969	40,6	8,8	75,5	2,91	2,02	0,89	0,31	22	27	09:30:45	98
2:26	0	100	23,4	1830	1542	0,84	20	2086	41,7	8,9	74,9	3,00	2,08	0,92	0,31	23	27	09:30:48	97
2:28	0	100	22,4	1756	1448	0,82	24	1623	38,7	8,5	76,7	2,52	1,75	0,77	0,31	22	27	09:30:50	93
2:31	0	100	21,3	1666	1374	0,82	24	1525	36,5	8,1	78,0	2,51	1,82	0,69	0,27	22	27	09:30:53	94
2:34	0	100	21,7	1701	1382	0,81	24	1526	36,2	8,2	78,2	2,53	1,84	0,69	0,27	21	26	09:30:56	93
2:38	0	100	20,1	1573	1316	0,84	22	1574	35,3	7,7	78,7	2,68	1,93	0,75	0,28	22	27	09:31:00	97
2:41	0	100	19,6	1533	1280	0,84	21	1600	34,1	7,5	79,4	2,81	2,06	0,75	0,27	22	27	09:31:03	100
2:43	0	100	19,6	1533	1280	0,84	21	1600	34,1	7,5	79,4	2,81	2,06	0,75	0,27	22	27	09:31:05	101
2:44	0	100	22,2	1739	1412	0,81	22	1651	37,0	8,4	77,7	2,68	1,93	0,75	0,28	21	26	09:31:06	101
2:46	0	100	20,8	1629	1305	0,80	20	1673	33,4	7,9	79,8	3,00	2,23	0,77	0,26	21	26	09:31:08	102
2:50	0	100	19,8	1551	1250	0,81	19	1711	32,2	7,5	80,6	3,19	2,40	0,78	0,25	21	26	09:31:12	102
2:53	0	100	18,9	1477	1189	0,80	20	1602	31,5	7,1	81,0	3,05	2,29	0,76	0,25	21	26	09:31:15	102
2:57	0	100	18,5	1451	1173	0,81	21	1497	31,9	7,0	80,8	2,82	2,07	0,75	0,27	22	27	09:31:19	102
3:00	0	100	19,6	1532	1231	0,80	22	1495	33,3	7,4	79,9	2,69	1,95	0,75	0,28	22	27	09:31:22	101
3:04	0	100	18,6	1452	1214	0,84	19	1784	33,3	7,1	80,0	3,22	2,43	0,79	0,24	23	27	09:31:26	101
3:07	0	100	17,8	1394	1194	0,86	19	1755	33,4	6,8	79,9	3,15	2,38	0,78	0,25	24	28	09:31:29	100
3:11	0	100	17,6	1378	1182	0,86	17	1876	32,0	6,7	80,7	3,52	2,74	0,78	0,22	23	27	09:31:33	100
3:17	0	100	17,3	1352	1143	0,85	15	2021	30,0	6,6	81,9	4,04	3,19	0,85	0,21	22	26	09:31:39	100
3:20	0	100	18,5	1452	1193	0,82	14	2122	30,5	7,0	81,6	4,18	3,38	0,80	0,19	21	26	09:31:42	100
3:24	0	100	20,8	1629	1328	0,81	17	2032	34,3	7,9	79,3	3,55	2,76	0,80	0,22	21	26	09:31:46	100
3:26	0	100	18,5	1451	1193	0,82	14	2122	30,5	7,0	81,6	4,18	3,38	0,80	0,19	21	26	09:31:48	101
3:30	0	100	16,9	1320	1051	0,80	16	1634	26,7	6,4	83,9	3,67	3,03	0,64	0,17	20	25	09:31:52	100
3:33	0	100	15,9	1245	974	0,78	16	1536	24,8	6,0	85,1	3,72	3,19	0,53	0,14	20	25	09:31:55	99
3:38	0	100	15,4	1209	931	0,77	15	1559	23,2	5,8	86,0	4,03	3,50	0,53	0,13	19	25	09:32:00	100
3:43	0	100	19,1	1497	1142	0,76	16	1777	28,4	7,2	82,9	3,76	3,22	0,54	0,14	19	25	09:32:05	100
3:46	0	100	19,8	1552	1215	0,78	16	1899	30,9	7,5	81,3	3,68	3,08	0,61	0,16	20	25	09:32:08	100
3:49	0	100	19,8	1553	1215	0,78	16	1899	30,9	7,5	81,3	3,68	3,08	0,61	0,16	20	25	09:32:11	100
3:51	0	100	21,7	1695	1347	0,79	16	2119	34,2	8,2	79,4	3,72	2,99	0,73	0,20	20	25	09:32:13	102
3:54	0	100	24,4	1914	1545	0,81	20	2054	40,3	9,3	75,7	3,06	2,31	0,75	0,24	21	26	09:32:16	102
Départ Exercice																			
3:57	0	175	25,1	1962	1607	0,82	19	2210	41,8	9,5	74,8	3,17	2,32	0,85	0,27	21	26	09:32:19	102
3:59	0	175	25,8	2024	1662	0,82	20	2189	43,1	9,8	74,0	3,04	2,18	0,86	0,28	21	26	09:32:21	102
4:12	0	175	24,2	1896	1595	0,84	22	1927	42,3	9,2	74,5	2,73	1,89	0,84	0,31	22	27	09:32:34	103
4:15	0	175	23,6	1850	1568	0,85	23	1834	41,7	9,0	74,9	2,64	1,79	0,84	0,32	23	27	09:32:37	102
4:18	0	175	22,1	1733	1473	0,85	22	1817	39,3	8,5	76,3	2,78	1,95	0,83	0,30	23	27	09:32:40	102
SV1																			
4:21	0	175	20,9	1638	1404	0,86	22	1745	37,8	8,0	77,2	2,77	1,94	0,83	0,30	23	27	09:32:43	103
4:24	0	175	22,1	1732	1468	0,85	21	1845	38,5	8,5	76,8	2,87	2,04	0,84	0,29	22	26	09:32:46	103
4:27	0	175	23,3	1822	1557	0,85	20	1954	39,8	8,9	76,0	2,95	2,01	0,93	0,32	22	26	09:32:49	106
4:31	0	175	23,9	1869	1592	0,85	19	2070	39,5	9,1	76,2	3,14	2,15	0,99	0,32	21	25	09:32:53	110
4:35	0	175	24,9	1949	1681	0,86	18	2337	41,1	9,5	75,3	3,42	2,33	1,09	0,32	21	24	09:32:57	109
4:38	0	175	25,4	1988	1718	0,86	18	2367	41,6	9,7	74,9	3,42	2,34	1,08	0,32	21	24	09:33:00	112
4:40	0	175	26,8	2099	1808	0,86	18	2441	43,5	10,3	73,8	3,37	2,28	1,09	0,32	21	24	09:33:02	115
4:44	0	175	26,8	2099	1808	0,86	18	2441	43,5	10,3	73,8	3,37	2,28	1,09	0,32	21	24	09:33:06	115
4:47	0	175	26,8	2099	1808	0,86	18	2441	43,5	10,3	73,8	3,37	2,28	1,09	0,32	21	24	09:33:09	117
4:50	0	175	27,6	2165	1866	0,86	18	2450	44,9	10,6	73,0	3,28	2,25	1,03	0,31	21	24	09:33:12	117
4:52	0	175	28,0	2194	1893	0,86	19	2367	45,7	10,7	72,4	3,11	2,12	0,98	0,32	21	24	09:33:14	117
4:55	0	175	27,7	2170	1858	0,86	22	2064	45,2	10,6	72,8	2,74	1,89	0,85	0,31	21	24	09:33:17	117
4:58	0	175	28,6	2242	1937	0,86	22	2164	46,8	11,0	71,8	2,77	1,91	0,87	0,31	21	24	09:33:20	116
5:01	0	175	28,3	2216	1937	0,87	21	2208	46,7	10,9	71,9	2,84	1,94	0,89	0,32	21	24	09:33:23	117
5:04	0	175	28,7	2244	1958	0,87	21	2220	47,3	11,0	71,5	2,82	1,94	0,87	0,31	21	24	09:33:26	115
5:07	0	175	28,1	2204	1930	0,88	22	2165	46,6	10,8	71,9	2,79	1,92	0,87	0,31	21	24	09:33:29	115
5:10	0	175	28,2	2210	1952	0,88	20	2320	47,4	10,9	71,4	2,94	1,98	0,96	0,33	21	24	09:33:32	116
5:13	0	175	28,6	2242	2008	0,90	20	2401	49,0	11,1	70,5	2,94	1,97	0,97	0,33	22	24	09:33:35	115
5:16	0	175	28,3	2218	2015	0,91	20	2456	49,7	11,0	70,1	2,97	1,96	1,00	0,34	22	25	09:33:38	115
5:19	0	175	28,2	2209	2032	0,92	21	2380	50,4	11,0	69,6	2,83	1,91	0,93	0,33	23	25	09:33:41	115
5:21	0	175	28,7	2244	2083	0,93	22	2388	51,7	11,2	68,8	2,77	1,87	0,90	0,33	23	25	09:33:43	117
5:24	0	175	28,9	2263	2126	0,94	22	2435	52,7	11,3	68,2	2,77	1,83	0,94	0,34	23	25	09:33:46	118
5:27	0	175	29,2	2285	2162	0,95	21	2536	53,2	11,4	68,0	2,86	1,88	0,98	0,34	23	25	09:33:49	119
5:32	0	175	28,4	2225	2133	0,96	19	2772	51,8	11,1	68,8	3,21	2,13	1,08	0,34	23	24	09:33:54	121
5:36	0	175	28,3	2213	2140	0,97	18	2926	51,6	11,1	68,9	3,40	2,29	1,12	0,33	23	24	09:33:58	120
5:40	0	175	28,8	2257	2181	0,97	17	3113	51,9	11,3	68,7	3,60	2,37	1,23	0,34	23	24	09:34:02	121
5:45	0	175	28,3	2213	2140	0,97	18	2926	51,6	11,1	68,9	3,40	2,29	1,12	0,33	23	24	09:34:07	122
5:48	0	175	28,0	2192	2129	0,97	16	3229	50,5	11,0	69,6	3,84	2,56	1,28	0,33	23	24	09:34:10	122
5:52	0	175	27,2	2128	2055	0,97	15	3139	48,4	10,7	70,8	3,89	2,64	1,25	0,32	23	24	09:34:14	122
5:55	0	175	27,4	2142	2031	0,95	16	3033	47,5	10,7	71,4	3,83	2,66	1,18	0,31	22	23	09:34:17	122
5:57	0	175	27,5	2156	1989	0,92	17	2650	46,3	10,7	72,1	3,44	2,36	1,07	0,31	21	23	09:34:19	121
