TEMPS	Vitesse	PUIS.	VO2/KG	VO2	VCO2	Q.R	FR	Vt	VE	KCal	Rés.V.	Ttot	Te	Ti	Ti/Ttot	VE/VO2	VE/VCO2	Horloge	FC
(min)	(RPM)	(Watts)	(mL/kg/min)	(mL/min)	(mL/min)		(br/min)	(mL)	(L/min)	(KCal/min)	(%)	(sec)	(sec)	(sec)				(Minuterie)	(BPM)
0:08	0	101	14,1	1009	761	0,75	19	1244	23,6	4,8	85,1	3,16	2,07	1,09	0,34	23	31	08:02:47	83
0:11	0	102	9,7	696	505	0,73	20	802	16,2	3,3	89,8	2,98	2,32	0,66	0,22	23	32	08:02:50	79
0:13	0	102	14,1	1008	760	0,75	19	1244	23,6	4,8	85,1	3,16	2,07	1,09	0,34	23	31	08:02:52	79
0:17	0	103	16,4	1175	844	0,72	22	1169	25,3	5,6	84,0	2,77	1,91	0,87	0,31	22	30	08:02:56	81
0:19	0	104	16,1	1149	814	0,71	22	1118	24,7	5,4	84,4	2,71	1,87	0,84	0,31	22	30	08:02:58	80
0:22	0	104	16,3	1166	809	0,69	22	1117	24,1	5,5	84,8	2,78	1,91	0,87	0,31	21	30	08:03:01	88
0:25	0	105	16,3	1168	799	0,68	22	1084	23,9	5,5	84,9	2,72	1,88	0,84	0,31	20	30	08:03:04	88
0:27	0	105	18,5	1321	900	0,68	22	1216	26,4	6,2	83,3	2,77	1,90	0,87	0,31	20	29	08:03:06	89
0:30	0	106	19,0	1357	911	0,67	21	1255	26,4	6,4	83,3	2,85	2,00	0,86	0,30	19	29	08:03:09	89
0:32	0	106	19,9	1426	941	0,66	21	1289	27,3	6,7	82,7	2,83	1,93	0,90	0,32	19	29	08:03:11	90
0:35	0	107	19,5	1395	882	0,63	22	1148	25,6	6,5	83,8	2,69	1,88	0,81	0,30	18	29	08:03:14	90
0:38	0	107	20,9	1498	942	0,63	22	1247	26,9	6,9	83,0	2,78	1,88	0,89	0,32	18	29	08:03:17	92
0:41	0	108	22,3	1595	990	0,62	22	1286	28,3	7,4	82,1	2,73	1,84	0,89	0,33	18	29	08:03:20	91
0:44	0	108	23,1	1654	1023	0,62	22	1335	28,9	7,7	81,8	2,78	1,83	0,94	0,34	17	28	08:03:23	93
0:48	0	109	22,7	1620	994	0,61	19	1418	27,4	7,5	82,7	3,11	2,09	1,01	0,33	17	28	08:03:27	93
0:51	0	110	23,3	1669	1017	0,61	18	1497	27,6	7,7	82,5	3,25	2,14	1,11	0,34	17	27	08:03:30	94
0:54	0	111	23,3	1668	1017	0,61	18	1497	27,6	7,7	82,5	3,25	2,14	1,11	0,34	17	27	08:03:33	95
0:58	0	111	23,3	1668	1017	0,61	18	1497	27,6	7,7	82,5	3,25	2,14	1,11	0,34	17	27	08:03:37	95
1:00	0	112	23,7	1692	1022	0,60	18	1505	27,5	7,8	82,6	3,29	2,21	1,08	0,33	16	27	08:03:39	95
1:03	0	112	23,4	1674	1013	0,60	18	1498	27,6	7,7	82,6	3,26	2,13	1,13	0,35	16	27	08:03:42	95
1:05	0	113	25,1	1795	1084	0,60	19	1540	29,3	8,3	81,5	3,15	2,08	1,07	0,34	16	27	08:03:44	94
1:08	0	113	24,7	1769	1083	0,61	20	1482	30,0	8,2	81,0	2,96	1,95	1,01	0,34	17	28	08:03:47	94
1:11	0	114	25,0	1790	1115	0,62	22	1450	31,2	8,3	80,3	2,79	1,87	0,92	0,33	17	28	08:03:50	94
1:13	0	114	26,3	1881	1181	0,63	22	1490	33,2	8,7	79,0	2,69	1,82	0,87	0,32	18	28	08:03:52	93
1:16	0	115	27,2	1945	1215	0,62	23	1472	34,1	9,0	78,5	2,59	1,71	0,88	0,34	18	28	08:03:55	93
1:19	0	115	25,5	1824	1159	0,64	23	1446	32,6	8,5	79,4	2,66	1,70	0,96	0,36	18	28	08:03:58	93
