TEMPS	Vitesse	PUIS.	VO2/KG	VO2	VCO2	Q.R	FR	Vt	VE	KCal	Rés.V.	Ttot	Te	Ti	Ti/Ttot	VE/VO2	VE/VCO2	Horloge	FC
(min)	(RPM)	(Watts)	(mL/kg/min)	(mL/min)	(mL/min)		(br/min)	(mL)	(L/min)	(KCal/min)	(%)	(sec)	(sec)	(sec)				(Minuterie)	(BPM)
0:13	0	100	15,0	1028	795	0,77	15	1355	20,6	4,9	85,9	3,94	3,24	0,70	0,18	20	26	10:28:24	99
0:17	0	100	12,5	853	699	0,82	14	1474	20,8	4,1	85,8	4,26	3,01	1,25	0,29	24	30	10:28:28	98
0:21	0	100	15,0	1027	796	0,77	15	1355	20,6	4,9	85,9	3,94	3,24	0,70	0,18	20	26	10:28:32	99
0:25	0	100	15,6	1065	809	0,76	15	1405	21,7	5,1	85,2	3,88	2,76	1,12	0,29	20	27	10:28:36	102
0:30	0	100	16,2	1109	850	0,77	15	1567	22,9	5,3	84,4	4,11	2,81	1,30	0,32	21	27	10:28:41	104
0:37	0	100	15,3	1043	812	0,78	14	1544	22,3	5,0	84,8	4,14	2,86	1,28	0,31	21	28	10:28:48	107
0:42	0	100	16,2	1108	861	0,78	14	1713	23,5	5,3	83,9	4,37	2,96	1,41	0,32	21	27	10:28:53	107
0:49	0	100	16,6	1133	862	0,76	12	1906	23,1	5,4	84,3	4,96	3,17	1,79	0,36	20	27	10:29:00	107
0:54	0	100	18,2	1243	924	0,74	11	2093	24,0	5,9	83,7	5,24	3,29	1,95	0,37	19	26	10:29:05	108
0:58	0	100	19,0	1300	955	0,73	11	2179	24,6	6,2	83,2	5,32	3,41	1,91	0,36	19	26	10:29:09	108
1:05	0	100	19,0	1296	958	0,74	10	2349	24,2	6,2	83,5	5,83	3,78	2,05	0,35	19	25	10:29:16	108
1:09	0	100	19,4	1325	977	0,74	11	2266	24,3	6,3	83,4	5,60	3,62	1,98	0,35	18	25	10:29:20	108
1:13	0	100	20,9	1432	1058	0,74	12	2204	26,5	6,8	82,0	5,00	3,25	1,74	0,35	18	25	10:29:24	108
1:16	0	100	20,9	1430	1076	0,75	13	2138	26,8	6,8	81,7	4,79	3,04	1,74	0,36	19	25	10:29:27	108
1:22	0	100	21,1	1444	1106	0,77	13	2104	27,5	6,9	81,2	4,58	2,84	1,75	0,38	19	25	10:29:33	107
1:26	0	100	21,7	1486	1161	0,78	14	2057	29,3	7,1	80,0	4,22	2,60	1,62	0,38	20	25	10:29:37	109
1:30	0	100	21,0	1436	1161	0,81	14	2064	29,3	6,9	80,0	4,22	2,62	1,60	0,38	20	25	10:29:41	109
1:34	0	100	22,4	1531	1240	0,81	15	2051	31,5	7,4	78,5	3,91	2,49	1,42	0,36	21	25	10:29:45	112
1:37	0	100	22,2	1517	1259	0,83	16	2064	32,2	7,4	78,0	3,84	2,45	1,39	0,36	21	26	10:29:48	115
1:42	0	100	21,8	1489	1264	0,85	15	2090	32,0	7,3	78,2	3,92	2,50	1,42	0,36	21	25	10:29:53	114
1:46	0	100	21,0	1436	1239	0,86	15	2138	31,3	7,0	78,6	4,09	2,59	1,50	0,37	22	25	10:29:57	116
1:51	0	100	21,0	1436	1239	0,86	15	2138	31,3	7,0	78,6	4,09	2,59	1,50	0,37	22	25	10:30:02	116
1:56	0	100	20,6	1411	1200	0,85	14	2151	30,1	6,9	79,5	4,29	2,67	1,62	0,38	21	25	10:30:07	116
1:59	0	100	20,8	1423	1188	0,84	14	2109	29,6	6,9	79,8	4,27	2,59	1,69	0,39	21	25	10:30:10	115
2:02	0	100	20,3	1387	1137	0,82	15	1900	28,4	6,7	80,7	4,02	2,46	1,56	0,39	20	25	10:30:13	115
2:06	0	100	20,1	1377	1108	0,80	15	1785	27,4	6,7	81,3	3,91	2,44	1,47	0,38	20	25	10:30:17	114
2:10	0	100	20,1	1376	1108	0,80	15	1785	27,4	6,7	81,3	3,91	2,44	1,47	0,38	20	25	10:30:21	115
2:14	0	100	20,6	1408	1118	0,79	16	1769	27,4	6,8	81,3	3,87	2,42	1,45	0,37	19	25	10:30:25	112
2:19	0	100	20,7	1418	1122	0,79	14	1883	27,1	6,8	81,5	4,17	2,52	1,65	0,40	19	24	10:30:30	110
2:24	0	100	21,1	1445	1146	0,79	15	1875	27,9	7,0	81,0	4,04	2,46	1,58	0,39	19	24	10:30:35	110
2:27	0	100	21,5	1471	1179	0,80	14	2057	28,7	7,1	80,4	4,30	2,67	1,63	0,38	20	24	10:30:38	110
2:31	0	100	21,5	1473	1190	0,81	14	2045	29,3	7,1	80,0	4,19	2,65	1,54	0,37	20	25	10:30:42	110
2:35	0	100	22,0	1506	1225	0,81	14	2117	30,1	7,3	79,5	4,23	2,64	1,59	0,38	20	25	10:30:46	114
2:37	0	100	21,5	1469	1189	0,81	14	2060	28,7	7,1	80,4	4,30	2,64	1,66	0,39	20	24	10:30:48	116
2:41	0	100	22,5	1537	1242	0,81	15	2031	29,9	7,4	79,6	4,08	2,49	1,58	0,39	19	24	10:30:52	115
2:44	0	100	22,8	1561	1284	0,82	15	2061	31,4	7,6	78,6	3,94	2,49	1,45	0,37	20	24	10:30:55	116
2:49	0	100	22,2	1520	1259	0,83	15	1982	30,5	7,4	79,2	3,90	2,43	1,47	0,38	20	24	10:31:00	116
2:54	0	100	22,4	1529	1283	0,84	15	2112	31,1	7,4	78,8	4,07	2,51	1,56	0,38	20	24	10:31:05	115
2:57	0	100	22,9	1565	1320	0,84	15	2116	32,1	7,6	78,1	3,95	2,48	1,48	0,37	21	24	10:31:08	115
3:00	0	100	23,2	1585	1343	0,85	15	2211	33,0	7,7	77,5	4,03	2,51	1,51	0,38	21	25	10:31:11	112
3:03	0	100	23,9	1635	1409	0,86	16	2188	35,6	8,0	75,7	3,69	2,35	1,34	0,36	22	25	10:31:14	112
3:06	0	100	22,5	1537	1329	0,87	15	2160	33,1	7,5	77,4	3,92	2,49	1,43	0,37	22	25	10:31:17	112
3:10	0	100	22,0	1505	1310	0,87	16	2060	32,8	7,4	77,6	3,76	2,39	1,38	0,37	22	25	10:31:21	112
3:14	0	100	22,5	1538	1350	0,88	16	2110	33,9	7,6	76,9	3,73	2,37	1,36	0,37	22	25	10:31:25	112
3:19	0	100	21,4	1462	1287	0,88	15	2078	32,1	7,2	78,1	3,89	2,44	1,44	0,37	22	25	10:31:30	113
3:22	0	100	20,5	1404	1240	0,88	16	1975	31,2	6,9	78,7	3,80	2,37	1,43	0,38	22	25	10:31:33	113
3:26	0	100	20,5	1404	1240	0,88	16	1975	31,2	6,9	78,7	3,80	2,37	1,43	0,38	22	25	10:31:37	115
3:28	0	100	20,5	1401	1214	0,87	16	1863	30,1	6,9	79,5	3,71	2,31	1,40	0,38	22	25	10:31:39	115
3:32	0	100	21,6	1474	1291	0,88	15	2095	32,3	7,2	78,0	3,89	2,43	1,46	0,38	22	25	10:31:43	116
3:36	0	100	22,5	1539	1363	0,89	15	2293	34,0	7,6	76,8	4,05	2,51	1,53	0,38	22	25	10:31:47	117
3:39	0	100	22,0	1507	1322	0,88	16	2035	32,8	7,4	77,6	3,72	2,39	1,33	0,36	22	25	10:31:50	117
3:42	0	100	22,8	1557	1350	0,87	19	1831	33,9	7,6	76,9	3,24	2,16	1,08	0,33	22	25	10:31:53	117
3:45	0	100	24,5	1675	1456	0,87	18	2014	36,8	8,2	74,9	3,28	2,14	1,14	0,35	22	25	10:31:56	117
3:48	0	100	23,2	1588	1403	0,88	18	1958	36,0	7,8	75,4	3,26	2,12	1,14	0,35	23	26	10:31:59	117
3:51	0	100	23,1	1580	1407	0,89	18	1959	36,0	7,8	75,4	3,26	2,12	1,14	0,35	23	26	10:32:02	117
3:54	0	100	22,7	1550	1366	0,88	20	1755	34,9	7,6	76,2	3,01	1,96	1,06	0,35	23	26	10:32:05	117
Départ Exercice																			
3:56	0	175	22,6	1546	1358	0,88	21	1632	34,8	7,6	76,2	2,81	1,85	0,96	0,34	23	26	10:32:07	117
3:59	0	175	22,7	1556	1383	0,89	21	1676	35,7	7,7	75,7	2,82	1,84	0,98	0,35	23	26	10:32:10	117
4:02	0	175	23,2	1584	1413	0,89	21	1774	36,5	7,8	75,1	2,92	1,86	1,06	0,36	23	26	10:32:13	117
4:05	0	175	22,9	1563	1403	0,90	20	1768	36,2	7,7	75,3	2,93	1,91	1,03	0,35	23	26	10:32:16	116
4:09	0	175	23,3	1593	1426	0,90	21	1782	36,6	7,9	75,0	2,92	1,87	1,05	0,36	23	26	10:32:20	116
4:12	0	175	23,2	1584	1416	0,89	21	1752	36,3	7,8	75,3	2,90	1,85	1,04	0,36	23	26	10:32:23	120
4:15	0	175	23,8	1630	1471	0,90	19	1954	37,6	8,1	74,4	3,12	1,95	1,17	0,37	23	26	10:32:26	122
4:18	0	175	24,1	1648	1475	0,90	19	2005	37,4	8,1	74,5	3,22	1,99	1,23	0,38	23	25	10:32:29	129
4:22	0	175	24,7	1689	1507	0,89	18	2114	37,9	8,3	74,1	3,34	2,07	1,27	0,38	22	25	10:32:33	129
4:26	0	175	25,0	1707	1518	0,89	17	2205	37,8	8,4	74,3	3,50	2,19	1,31	0,37	22	25	10:32:37	133
4:29	0	175	25,9	1773	1553	0,88	17	2252	38,2	8,7	74,0	3,54	2,17	1,37	0,39	22	25	10:32:40	135
4:32	0	175	26,6	1820	1575	0,87	18	2171	38,2	8,9	73,9	3,41	2,12	1,29	0,38	21	24	10:32:43	135
4:36	0	175	27,7	1892	1631	0,86	18	2246	39,5	9,3	73,1	3,41	2,08	1,34	0,39	21	24	10:32:47	137
4:39	0	175	27,2	1858	1614	0,87	17	2261	39,1	9,1	73,3	3,47	2,11	1,36	0,39	21	24	10:32:50	137
4:43	0	175	27,2	1858	1621	0,87	17	2247	39,2	9,1	73,3	3,44	2,10	1,34	0,39	21	24	10:32:54	137
4:48	0	175	27,1	1852	1621	0,88	17	2328	39,0	9,1	73,4	3,58	2,17	1,41	0,39	21	24	10:32:59	138
4:53	0	175	27,9	1912	1611	0,84	16	2455	38,5	9,3	73,7	3,83	2,39	1,44	0,38	20	24	10:33:04	138
4:56	0	175	28,3	1937	1647	0,85	16	2494	39,6	9,5	73,0	3,78	2,40	1,38	0,36	20	24	10:33:07	139
4:59	0	175	28,4	1941	1664	0,86	16	2531	39,9	9,5	72,8	3,80	2,40	1,41	0,37	21	24	10:33:10	139
5:02	0	175	28,4	1941	1666	0,86	16	2493	39,9	9,5	72,8	3,75	2,40	1,35	0,36	21	24	10:33:13	139
5:06	0	175	28,2	1928	1662	0,86	16	2448	39,5	9,4	73,1	3,72	2,42	1,30	0,35	20	24	10:33:17	139
5:09	0	175	29,4	2010	1720	0,86	17	2488	41,1	9,8	72,0	3,64	2,28	1,35	0,37	20	24	10:33:20	139
SV1																			
5:11	0	175	30,1	2057	1842	0,90	18	2391	44,1	10,1	69,9	3,25	1,96	1,29	0,40	21	24	10:33:22	140
5:15	0	175	30,7	2098	1896	0,90	19	2474	45,9	10,4	68,7	3,24	1,94	1,30	0,40	22	24	10:33:26	140
5:17	0	175	30,9	2111	1901	0,90	20	2243	45,4	10,4	69,0	2,96	1,89	1,08	0,36	22	24	10:33:28	140
5:19	0	175	31,3	2138	1932	0,90	21	2255	46,9	10,6	68,0	2,88	1,84	1,04	0,36	22	24	10:33:30	140
5:24	0	175	30,4	2082	1885	0,91	20	2237	45,5	10,3	68,9	2,95	1,86	1,09	0,37	22	24	10:33:35	140
5:27	0	175	31,2	2132	1926	0,90	20	2307	46,2	10,5	68,5	2,99	1,83	1,16	0,39	22	24	10:33:38	140
5:30	0	175	31,1	2125	1915	0,90	20	2243	45,6	10,5	68,9	2,95	1,80	1,15	0,39	21	24	10:33:41	140
5:33	0	175	31,1	2125	1915	0,90	20	2243	45,6	10,5	68,9	2,95	1,80	1,15	0,39	21	24	10:33:44	141
5:37	0	175	31,1	2128	1903	0,89	20	2257	44,7	10,5	69,5	3,03	1,79	1,25	0,41	21	23	10:33:48	141
5:40	0	175	31,4	2148	1952	0,91	18	2529	46,3	10,6	68,5	3,28	1,89	1,39	0,42	22	24	10:33:51	141
5:43	0	175	31,7	2166	1972	0,91	19	2489	46,4	10,7	68,4	3,22	1,90	1,31	0,41	21	24	10:33:54	141
5:45	0	175	32,5	2226	2043	0,92	19	2515	48,7	11,0	66,8	3,10	1,87	1,23	0,40	22	24	10:33:56	141
5:48	0	175	32,5	2226	2043	0,92	19	2515	48,7	11,0	66,8	3,10	1,87	1,23	0,40	22	24	10:33:59	143
