TEMPS	Vitesse	PUIS.	VO2/KG	VO2	VCO2	Q.R	FR	Vt	VE	KCal	Rés.V.	Ttot	Te	Ti	Ti/Ttot	VE/VO2	VE/VCO2	Horloge	FC
(min)	(RPM)	(Watts)	(mL/kg/min)	(mL/min)	(mL/min)		(br/min)	(mL)	(L/min)	(KCal/min)	(%)	(sec)	(sec)	(sec)				(Minuterie)	(BPM)
0:12	0	126	9,1	661	516	0,78	12	1036	12,9	3,2	92,0	4,83	3,09	1,74	0,36	19	25	07:31:10	117
0:18	0	126	20,3	1469	1138	0,77	10	2529	24,9	7,1	84,4	6,10	4,28	1,82	0,30	17	22	07:31:16	119
0:21	0	127	16,0	1157	905	0,78	17	1180	19,9	5,6	87,5	3,55	2,38	1,17	0,33	17	22	07:31:19	117
0:27	0	127	17,7	1281	961	0,75	13	1559	20,6	6,1	87,1	4,54	2,99	1,55	0,34	16	21	07:31:25	118
0:32	0	127	18,4	1330	988	0,74	13	1625	21,0	6,3	86,9	4,64	3,04	1,60	0,34	16	21	07:31:30	118
0:35	0	128	18,4	1333	981	0,74	14	1537	20,8	6,3	87,0	4,43	2,90	1,53	0,35	16	21	07:31:33	119
0:40	0	128	18,4	1330	976	0,73	14	1504	20,7	6,3	87,1	4,36	2,83	1,53	0,35	16	21	07:31:38	120
0:44	0	128	19,3	1394	1027	0,74	12	1774	21,8	6,6	86,3	4,87	3,21	1,66	0,34	16	21	07:31:42	121
0:48	0	129	19,8	1429	1046	0,73	13	1654	22,0	6,8	86,3	4,52	2,93	1,59	0,35	15	21	07:31:46	123
0:51	0	129	22,4	1616	1189	0,74	13	1862	24,9	7,7	84,4	4,48	2,97	1,51	0,34	15	21	07:31:49	126
0:55	0	130	24,1	1742	1318	0,76	14	1940	27,8	8,3	82,6	4,18	2,78	1,40	0,33	16	21	07:31:53	126
0:59	0	130	26,4	1911	1488	0,78	15	2174	32,4	9,2	79,8	4,03	2,65	1,37	0,34	17	22	07:31:57	127
1:01	0	130	27,5	1991	1569	0,79	16	2108	34,7	9,6	78,3	3,64	2,47	1,17	0,32	17	22	07:31:59	128
1:04	0	130	29,3	2117	1712	0,81	17	2209	38,1	10,2	76,2	3,48	2,37	1,11	0,32	18	22	07:32:02	129
1:07	0	130	28,2	2036	1712	0,84	18	2110	38,8	9,9	75,7	3,26	2,20	1,06	0,33	19	23	07:32:05	130
1:10	0	131	29,4	2124	1821	0,86	17	2392	40,8	10,4	74,5	3,52	2,26	1,25	0,36	19	22	07:32:08	131
1:12	0	131	28,2	2038	1712	0,84	18	2110	38,8	9,9	75,7	3,26	2,20	1,06	0,33	19	23	07:32:10	131
1:15	0	131	28,0	2026	1728	0,85	20	1924	39,1	9,9	75,6	2,95	2,03	0,92	0,31	19	23	07:32:13	133
1:18	0	131	27,9	2018	1753	0,87	22	1744	38,4	9,9	76,0	2,73	1,86	0,86	0,32	19	22	07:32:16	134
1:21	0	132	29,3	2122	1877	0,88	20	2026	40,8	10,4	74,5	2,98	1,93	1,05	0,35	19	22	07:32:19	134
1:23	0	132	28,9	2090	1871	0,90	23	1823	41,2	10,3	74,2	2,66	1,70	0,96	0,36	20	22	07:32:21	134
1:25	0	132	27,8	2009	1822	0,91	24	1689	41,0	9,9	74,4	2,47	1,56	0,92	0,37	20	22	07:32:23	136
