TEMPS	Vitesse	PUIS.	VO2/KG	VO2	VCO2	Q.R	FR	Vt	VE	KCal	Rés.V.	Ttot	Te	Ti	Ti/Ttot	VE/VO2	VE/VCO2	Horloge	FC
(min)	(RPM)	(Watts)	(mL/kg/min)	(mL/min)	(mL/min)		(br/min)	(mL)	(L/min)	(KCal/min)	(%)	(sec)	(sec)	(sec)				(Minuterie)	(BPM)
0:10	0	103	13,5	1182	832	0,70	10	2192	22,4	5,6	86,7	5,86	4,84	1,02	0,17	19	27	08:16:41	105
0:11	0	103	31,2	2735	1734	0,63	50	939	46,6	12,7	72,5	1,21	0,88	0,33	0,27	17	27	08:16:42	105
0:15	0	104	14,7	1290	863	0,67	13	1589	21,4	6,0	87,3	4,45	2,99	1,46	0,33	17	25	08:16:46	105
0:20	0	105	18,8	1648	1083	0,66	13	2079	27,9	7,7	83,5	4,47	3,07	1,39	0,31	17	26	08:16:51	107
0:26	0	106	16,7	1462	983	0,67	12	2117	25,8	6,9	84,8	4,93	3,66	1,27	0,26	18	26	08:16:57	108
0:28	0	106	16,2	1420	958	0,67	15	1744	25,5	6,7	84,9	4,11	3,12	0,99	0,24	18	27	08:16:59	111
0:30	0	107	16,5	1447	984	0,68	16	1635	26,1	6,8	84,6	3,76	2,84	0,92	0,25	18	27	08:17:01	109
0:35	0	108	16,8	1478	1007	0,68	18	1484	26,0	6,9	84,6	3,42	2,45	0,97	0,28	18	26	08:17:06	111
0:37	0	108	14,4	1267	875	0,69	20	1117	22,1	6,0	86,9	3,03	2,22	0,81	0,27	17	25	08:17:08	113
0:41	0	109	16,0	1402	988	0,70	20	1274	25,7	6,6	84,8	2,97	2,21	0,76	0,26	18	26	08:17:12	114
0:44	0	109	14,5	1273	889	0,70	23	998	22,8	6,0	86,5	2,63	1,95	0,68	0,26	18	26	08:17:15	113
0:47	0	110	15,9	1396	985	0,71	22	1146	25,4	6,6	85,0	2,71	1,94	0,77	0,28	18	26	08:17:18	114
0:50	0	111	16,9	1481	1046	0,71	20	1335	26,7	7,0	84,2	3,00	2,07	0,94	0,31	18	25	08:17:21	114
0:53	0	111	16,6	1460	1035	0,71	19	1391	26,4	6,9	84,4	3,16	2,15	1,01	0,32	18	26	08:17:24	115
0:58	0	112	18,3	1607	1161	0,72	18	1607	29,6	7,6	82,5	3,26	2,10	1,15	0,35	18	26	08:17:29	114
0:59	0	113	19,2	1683	1217	0,72	17	1883	31,3	8,0	81,5	3,60	2,37	1,24	0,34	19	26	08:17:30	114
1:01	0	113	19,1	1677	1215	0,72	19	1617	31,2	8,0	81,6	3,11	2,03	1,08	0,35	19	26	08:17:32	113
1:03	0	113	19,8	1737	1260	0,73	20	1588	32,3	8,2	80,9	2,95	1,93	1,02	0,35	19	26	08:17:34	115
1:08	0	114	19,2	1688	1234	0,73	20	1588	31,9	8,0	81,2	2,99	1,96	1,03	0,34	19	26	08:17:39	115
1:10	0	115	17,6	1541	1134	0,74	18	1598	29,0	7,3	82,8	3,31	2,28	1,02	0,31	19	26	08:17:41	116
1:13	0	115	18,0	1582	1163	0,73	20	1501	30,0	7,5	82,2	3,00	2,10	0,90	0,30	19	26	08:17:44	116
1:17	0	116	18,5	1621	1183	0,73	20	1508	30,9	7,7	81,7	2,93	2,18	0,74	0,25	19	26	08:17:48	116
1:19	0	116	19,1	1678	1231	0,73	20	1601	31,7	8,0	81,2	3,03	2,27	0,75	0,25	19	26	08:17:50	118
1:22	0	117	19,2	1682	1251	0,74	18	1776	31,8	8,0	81,2	3,35	2,54	0,81	0,24	19	25	08:17:53	118
1:26	0	118	18,4	1615	1211	0,75	17	1830	30,6	7,7	81,9	3,59	2,78	0,81	0,23	19	25	08:17:57	118
1:29	0	119	20,5	1801	1361	0,76	18	1888	33,8	8,6	80,0	3,35	2,62	0,73	0,22	19	25	08:18:00	118
1:31	0	119	21,9	1919	1438	0,75	20	1799	36,1	9,2	78,7	2,99	2,22	0,77	0,26	19	25	08:18:02	119
1:33	0	119	21,9	1920	1438	0,75	20	1799	36,1	9,2	78,7	2,99	2,22	0,77	0,26	19	25	08:18:04	123
1:34	0	120	21,7	1902	1432	0,75	24	1508	36,6	9,1	78,3	2,47	1,87	0,60	0,24	19	26	08:18:05	122
1:36	0	120	21,2	1860	1412	0,76	25	1427	36,0	8,9	78,7	2,38	1,81	0,57	0,24	19	25	08:18:07	123
1:40	0	122	20,6	1812	1398	0,77	24	1476	35,5	8,7	79,0	2,49	1,86	0,63	0,25	20	25	08:18:11	122
1:42	0	122	22,0	1927	1483	0,77	27	1405	37,8	9,2	77,6	2,23	1,62	0,61	0,27	20	26	08:18:13	122
1:46	0	123	20,9	1837	1444	0,79	26	1444	37,8	8,8	77,6	2,29	1,59	0,70	0,30	21	26	08:18:17	123
1:49	0	123	22,0	1935	1533	0,79	25	1575	38,9	9,3	77,0	2,43	1,79	0,64	0,26	20	25	08:18:20	122
1:52	0	123	21,7	1908	1536	0,80	23	1734	39,7	9,2	76,5	2,62	1,84	0,77	0,30	21	26	08:18:23	123
1:54	0	125	21,8	1913	1550	0,81	22	1816	39,6	9,3	76,6	2,75	1,92	0,83	0,30	21	26	08:18:25	124
1:59	0	125	21,4	1877	1534	0,82	18	2111	38,0	9,1	77,5	3,33	2,27	1,07	0,32	20	25	08:18:30	126
2:02	0	126	22,6	1982	1619	0,82	19	2112	39,5	9,6	76,6	3,20	2,15	1,05	0,33	20	24	08:18:33	126
2:06	0	127	22,5	1974	1618	0,82	17	2290	39,3	9,6	76,8	3,50	2,35	1,14	0,33	20	24	08:18:37	127
2:09	0	128	23,2	2037	1668	0,82	19	2196	41,1	9,9	75,7	3,21	2,14	1,07	0,33	20	25	08:18:40	127
2:12	0	128	23,2	2037	1668	0,82	19	2196	41,1	9,9	75,7	3,21	2,14	1,07	0,33	20	25	08:18:43	128
2:17	0	129	22,1	1943	1590	0,82	17	2192	38,0	9,4	77,5	3,46	2,33	1,13	0,33	20	24	08:18:48	127
2:20	0	130	23,2	2041	1672	0,82	17	2352	39,9	9,9	76,4	3,54	2,37	1,16	0,33	20	24	08:18:51	129
2:23	0	130	23,4	2053	1673	0,81	18	2245	41,1	9,9	75,7	3,27	2,30	0,98	0,30	20	25	08:18:54	129
2:26	0	131	24,2	2121	1741	0,82	19	2287	42,9	10,3	74,6	3,20	2,21	0,99	0,31	20	25	08:18:57	129
2:29	0	131	23,8	2089	1715	0,82	20	2125	42,5	10,1	74,9	3,00	2,11	0,89	0,30	20	25	08:19:00	129
2:33	0	132	23,9	2100	1719	0,82	19	2167	41,8	10,2	75,3	3,11	2,29	0,83	0,27	20	24	08:19:04	128
2:36	0	133	21,9	1925	1587	0,82	17	2196	37,6	9,3	77,7	3,50	2,57	0,93	0,26	20	24	08:19:07	128
2:39	0	134	23,7	2078	1712	0,82	18	2270	41,4	10,1	75,5	3,29	2,38	0,91	0,28	20	24	08:19:10	129
2:42	0	134	22,5	1978	1618	0,82	19	2098	39,4	9,6	76,7	3,19	2,35	0,84	0,26	20	24	08:19:13	129
2:43	0	134	24,3	2132	1769	0,83	19	2264	42,8	10,4	74,7	3,17	2,25	0,92	0,29	20	24	08:19:14	129
2:45	0	135	24,2	2124	1727	0,81	21	1953	41,6	10,3	75,4	2,82	2,01	0,81	0,29	20	24	08:19:16	129
2:48	0	135	25,4	2227	1808	0,81	22	2000	44,0	10,8	74,0	2,73	1,91	0,82	0,30	20	24	08:19:19	129
2:50	0	136	25,5	2238	1834	0,82	25	1868	46,8	10,9	72,3	2,40	1,63	0,77	0,32	21	25	08:19:21	129
2:51	0	136	26,2	2304	1898	0,82	27	1848	49,1	11,2	71,0	2,26	1,52	0,74	0,33	21	26	08:19:22	129
