TEMPS	Vitesse	PUIS.	VO2/KG	VO2	VCO2	Q.R	FR	Vt	VE	KCal	Rés.V.	Ttot	Te	Ti	Ti/Ttot	VE/VO2	VE/VCO2	Horloge	FC
(min)	(RPM)	(Watts)	(mL/kg/min)	(mL/min)	(mL/min)		(br/min)	(mL)	(L/min)	(KCal/min)	(%)	(sec)	(sec)	(sec)				(Minuterie)	(BPM)
0:12	0	80	11,3	843	729	0,87	16	1251	20,4	4,1	86,9	3,68	2,48	1,20	0,33	24	28	07:30:00	79
0:15	0	80	11,5	858	714	0,83	17	1202	20,6	4,2	86,8	3,51	2,34	1,17	0,33	24	29	07:30:03	83
0:20	0	80	11,4	857	714	0,83	17	1202	20,6	4,2	86,8	3,51	2,34	1,17	0,33	24	29	07:30:08	83
0:25	0	80	11,3	849	722	0,85	17	1227	20,5	4,1	86,8	3,60	2,41	1,18	0,33	24	28	07:30:13	85
0:29	0	80	12,7	952	782	0,82	17	1279	21,8	4,6	85,9	3,51	2,34	1,18	0,33	23	28	07:30:17	86
0:32	0	80	13,6	1018	825	0,81	17	1327	22,9	4,9	85,2	3,47	2,35	1,12	0,32	23	28	07:30:20	87
0:36	0	80	13,8	1030	828	0,80	17	1341	23,0	5,0	85,2	3,50	2,40	1,10	0,32	22	28	07:30:24	88
0:40	0	80	14,7	1098	853	0,78	17	1364	22,9	5,3	85,2	3,57	2,47	1,10	0,31	21	27	07:30:28	90
0:43	0	80	15,8	1185	947	0,80	16	1630	25,6	5,7	83,5	3,82	2,64	1,18	0,31	22	27	07:30:31	92
0:47	0	80	16,3	1219	928	0,76	17	1458	24,5	5,8	84,2	3,56	2,41	1,15	0,32	20	26	07:30:35	93
0:51	0	80	16,7	1252	964	0,77	17	1541	25,8	6,0	83,4	3,58	2,49	1,09	0,30	21	27	07:30:39	95
0:55	0	80	17,6	1318	1010	0,77	16	1625	26,8	6,3	82,8	3,64	2,55	1,09	0,30	20	27	07:30:43	95
0:59	0	80	18,2	1364	1046	0,77	16	1669	27,5	6,5	82,3	3,64	2,52	1,13	0,31	20	26	07:30:47	99
1:01	0	80	19,5	1463	1123	0,77	16	1836	29,0	7,0	81,4	3,80	2,51	1,29	0,34	20	26	07:30:49	102
1:05	0	80	19,5	1463	1123	0,77	16	1836	29,0	7,0	81,4	3,80	2,51	1,29	0,34	20	26	07:30:53	103
1:07	0	80	18,9	1417	1115	0,79	16	1762	29,0	6,8	81,4	3,65	2,48	1,17	0,32	20	26	07:30:55	103
1:11	0	80	18,4	1380	1120	0,81	16	1776	29,0	6,7	81,3	3,67	2,46	1,22	0,33	21	26	07:30:59	103
1:18	0	80	18,0	1348	1122	0,83	17	1735	29,7	6,6	80,9	3,51	2,27	1,24	0,35	22	26	07:31:06	103
1:23	0	80	17,9	1343	1154	0,86	17	1840	31,0	6,6	80,0	3,56	2,36	1,20	0,34	23	27	07:31:11	102
1:27	0	80	16,5	1234	1098	0,89	14	2088	29,2	6,1	81,2	4,29	2,94	1,35	0,32	24	27	07:31:15	101
1:29	0	80	16,5	1234	1098	0,89	14	2088	29,2	6,1	81,2	4,29	2,94	1,35	0,32	24	27	07:31:17	101
1:32	0	80	17,4	1306	1142	0,87	14	2072	29,8	6,4	80,8	4,17	2,85	1,32	0,32	23	26	07:31:20	101
1:35	0	80	17,6	1318	1156	0,88	14	2134	30,4	6,5	80,4	4,21	2,87	1,33	0,32	23	26	07:31:23	101
1:38	0	80	17,3	1293	1134	0,88	15	2041	30,1	6,4	80,6	4,06	2,86	1,20	0,30	23	27	07:31:26	100
1:41	0	80	19,0	1422	1225	0,86	19	1748	33,1	7,0	78,7	3,17	2,16	1,01	0,32	23	27	07:31:29	104
1:44	0	80	19,3	1444	1253	0,87	21	1622	33,9	7,1	78,2	2,87	1,97	0,90	0,31	23	27	07:31:32	104
1:47	0	80	19,4	1452	1263	0,87	21	1667	34,3	7,1	77,9	2,91	1,98	0,94	0,32	24	27	07:31:35	106
