TEMPS	Vitesse	PUIS.	VO2/KG	VO2	VCO2	Q.R	FR	Vt	VE	KCal	Rés.V.	Ttot	Te	Ti	Ti/Ttot	VE/VO2	VE/VCO2	Horloge	FC
(min)	(RPM)	(Watts)	(mL/kg/min)	(mL/min)	(mL/min)		(br/min)	(mL)	(L/min)	(KCal/min)	(%)	(sec)	(sec)	(sec)				(Minuterie)	(BPM)
0:43	0	100	1,8	132	97	0,74	2	2183	3,9	0,6	97,5	33,97	32,30	1,67	0,05	29	40	09:28:19	98
0:44	0	100	13,9	996	670	0,67	32	549	17,7	4,7	88,6	1,86	1,51	0,35	0,19	18	26	09:28:20	109
0:48	0	100	13,8	990	667	0,67	32	549	17,7	4,6	88,6	1,86	1,51	0,35	0,19	18	27	09:28:24	109
0:51	0	100	15,8	1131	761	0,67	22	892	19,6	5,3	87,4	2,73	2,07	0,65	0,24	17	26	09:28:27	109
0:54	0	100	17,5	1255	854	0,68	22	974	21,5	5,9	86,2	2,72	1,94	0,77	0,28	17	25	09:28:30	110
0:56	0	100	19,5	1400	998	0,71	22	1139	24,6	6,6	84,3	2,78	1,91	0,87	0,31	18	25	09:28:32	111
1:00	0	100	17,0	1223	880	0,72	20	1093	22,2	5,8	85,8	2,96	2,13	0,83	0,28	18	25	09:28:36	112
1:02	0	100	17,0	1224	880	0,72	20	1093	22,2	5,8	85,8	2,96	2,13	0,83	0,28	18	25	09:28:38	115
1:05	0	100	18,6	1335	982	0,74	19	1282	24,7	6,3	84,2	3,12	2,15	0,96	0,31	18	25	09:28:41	115
1:07	0	100	21,2	1525	1148	0,75	21	1385	28,4	7,3	81,8	2,92	1,94	0,98	0,33	19	25	09:28:43	116
1:10	0	100	21,2	1520	1187	0,78	20	1450	29,7	7,3	81,0	2,93	2,04	0,89	0,30	20	25	09:28:46	116
1:13	0	100	21,3	1531	1216	0,79	20	1495	29,8	7,4	80,9	3,01	2,19	0,81	0,27	19	25	09:28:49	117
1:16	0	100	21,5	1541	1284	0,83	19	1651	31,8	7,5	79,6	3,12	2,19	0,92	0,30	21	25	09:28:52	117
1:19	0	100	24,3	1743	1493	0,86	21	1771	36,9	8,5	76,4	2,88	1,94	0,94	0,33	21	25	09:28:55	117
1:21	0	100	24,2	1737	1516	0,87	21	1771	37,3	8,5	76,1	2,85	1,87	0,98	0,34	21	25	09:28:57	118
1:24	0	100	22,3	1600	1436	0,90	21	1715	35,9	7,9	77,0	2,87	1,98	0,89	0,31	22	25	09:29:00	118
1:29	0	100	21,4	1536	1397	0,91	19	1752	34,0	7,6	78,2	3,09	2,20	0,89	0,29	22	24	09:29:05	119
1:32	0	100	20,9	1500	1383	0,92	19	1740	33,1	7,4	78,8	3,15	2,18	0,98	0,31	22	24	09:29:08	121
1:35	0	100	20,4	1468	1383	0,94	19	1723	33,6	7,3	78,5	3,08	2,07	1,01	0,33	23	24	09:29:11	122
1:38	0	100	20,4	1468	1383	0,94	19	1723	33,6	7,3	78,5	3,08	2,07	1,01	0,33	23	24	09:29:14	122
1:41	0	100	21,1	1515	1427	0,94	19	1786	33,8	7,6	78,3	3,17	2,12	1,05	0,33	22	24	09:29:17	123
