TEMPS	Vitesse	PUIS.	VO2/KG	VO2	VCO2	Q.R	FR	Vt	VE	KCal	Rés.V.	Ttot	Te	Ti	Ti/Ttot	VE/VO2	VE/VCO2	Horloge	FC
(min)	(RPM)	(Watts)	(mL/kg/min)	(mL/min)	(mL/min)		(br/min)	(mL)	(L/min)	(KCal/min)	(%)	(sec)	(sec)	(sec)				(Minuterie)	(BPM)
0:10	0	103	15,4	1035	853	0,82	20	1146	22,5	5,0	85,4	3,05	2,07	0,98	0,32	22	26	09:20:33	103
0:14	0	103	12,1	814	653	0,80	16	1109	17,2	3,9	88,8	3,87	2,89	0,98	0,25	21	26	09:20:37	103
0:16	0	104	14,3	961	752	0,78	33	687	22,4	4,6	85,5	1,84	1,48	0,36	0,20	23	30	09:20:39	103
0:18	0	104	13,0	878	707	0,81	29	707	20,1	4,2	86,9	2,11	1,66	0,44	0,21	23	29	09:20:41	103
0:22	0	105	14,0	945	767	0,81	25	853	21,1	4,6	86,3	2,42	1,80	0,62	0,26	22	28	09:20:45	106
0:25	0	106	15,4	1041	857	0,82	23	991	23,2	5,1	84,9	2,56	1,87	0,69	0,27	22	27	09:20:48	108
0:28	0	106	16,7	1127	946	0,84	20	1216	24,9	5,5	83,8	2,93	2,05	0,88	0,30	22	26	09:20:51	107
0:31	0	107	17,9	1209	1013	0,84	21	1270	26,6	5,9	82,8	2,87	2,01	0,86	0,30	22	26	09:20:54	113
0:34	0	107	19,7	1329	1100	0,83	20	1417	28,1	6,5	81,7	3,02	2,04	0,98	0,32	21	26	09:20:57	118
0:37	0	108	20,9	1410	1169	0,83	19	1598	29,6	6,9	80,8	3,24	2,17	1,07	0,33	21	25	09:21:00	118
0:40	0	110	22,0	1480	1221	0,82	19	1653	30,6	7,2	80,1	3,24	2,16	1,07	0,33	21	25	09:21:03	118
0:43	0	110	22,7	1531	1242	0,81	20	1527	31,3	7,4	79,7	2,93	1,98	0,95	0,32	20	25	09:21:06	118
0:46	0	111	23,5	1587	1306	0,82	20	1628	33,2	7,7	78,5	2,94	1,99	0,95	0,32	21	25	09:21:09	119
0:48	0	111	24,4	1646	1349	0,82	21	1664	34,3	8,0	77,7	2,91	1,96	0,95	0,33	21	25	09:21:11	119
0:51	0	112	24,1	1624	1326	0,82	20	1632	33,0	7,9	78,6	2,96	2,00	0,96	0,32	20	25	09:21:14	119
0:54	0	112	25,0	1683	1373	0,82	21	1662	34,8	8,2	77,4	2,86	1,92	0,95	0,33	21	25	09:21:17	120
0:57	0	113	25,6	1726	1415	0,82	21	1668	35,8	8,4	76,7	2,79	1,82	0,97	0,35	21	25	09:21:20	121
0:59	0	113	26,1	1760	1425	0,81	23	1585	36,0	8,5	76,6	2,64	1,73	0,91	0,35	20	25	09:21:22	121
1:02	0	114	26,5	1786	1449	0,81	23	1589	36,8	8,6	76,1	2,59	1,72	0,87	0,34	21	25	09:21:25	121
1:06	0	115	25,3	1704	1384	0,81	22	1581	34,6	8,3	77,6	2,75	1,84	0,91	0,33	20	25	09:21:29	121
1:08	0	115	25,5	1718	1403	0,82	22	1585	34,9	8,3	77,3	2,72	1,81	0,92	0,34	20	25	09:21:31	120
1:10	0	116	26,6	1796	1463	0,81	23	1618	37,1	8,7	75,9	2,62	1,71	0,91	0,35	21	25	09:21:33	120
